DATE,HNONWPDPI
1946-10-01,535.441068983
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,563.3900934948
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,533.7400786453
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,555.4272139023
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,545.3323106423
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,539.9261986446
1952-01-01,533.4633684099
1952-04-01,536.0350555774
1952-07-01,527.0908873765
1952-10-01,516.7139790841
1953-01-01,512.6272490835
1953-04-01,506.1082439302
1953-07-01,511.3060221481
1953-10-01,518.5976892943
1954-01-01,521.8241508729
1954-04-01,530.0698583979
1954-07-01,539.5760256055
1954-10-01,536.1570447353
1955-01-01,533.5776986646
1955-04-01,533.6469997655
1955-07-01,535.2579919967
1955-10-01,534.4873531098
1956-01-01,541.0646373087
1956-04-01,535.6949729852
1956-07-01,533.7134498177
1956-10-01,534.5275515989
1957-01-01,532.0693761464
1957-04-01,536.3122717322
1957-07-01,528.8350667165
1957-10-01,534.6803657694
1958-01-01,542.8851533142
1958-04-01,546.2444789386
1958-07-01,549.8378202581
1958-10-01,550.3965571406
1959-01-01,549.2686903137
1959-04-01,546.0534314694
1959-07-01,547.1666987
1959-10-01,549.5225545536
1960-01-01,544.7855968128
1960-04-01,543.2593492454
1960-07-01,538.9681588713
1960-10-01,550.8479855705
1961-01-01,557.8250376411
1961-04-01,555.3695478175
1961-07-01,555.3152879089
1961-10-01,557.9406727549
1962-01-01,553.2758886824
1962-04-01,522.6333311045
1962-07-01,527.8596287227
1962-10-01,546.3668251407
1963-01-01,548.106334819
1963-04-01,549.6676350277
1963-07-01,550.6074466839
1963-10-01,538.648485563
1964-01-01,535.9311071768
1964-04-01,530.0476162391
1964-07-01,531.1592236318
1964-10-01,532.5070752724
1965-01-01,533.4291478678
1965-04-01,524.2136150886
1965-07-01,523.3327617979
1965-10-01,526.5456367769
1966-01-01,518.5987178572
1966-04-01,518.9126463082
1966-07-01,503.6761685771
1966-10-01,509.6721365316
1967-01-01,518.958399614
1967-04-01,519.4227956894
1967-07-01,524.3028356824
1967-10-01,527.2123528401
1968-01-01,516.7037686289
1968-04-01,524.7237855024
1968-07-01,527.236319187
1968-10-01,543.0689740293
1969-01-01,539.0984621478
1969-04-01,528.2169848111
1969-07-01,514.4927270136
1969-10-01,507.2534516193
1970-01-01,499.970034699
1970-04-01,480.062801535
1970-07-01,484.4565655889
1970-10-01,495.1460612148
1971-01-01,501.104539678
1971-04-01,497.2881466893
1971-07-01,497.0897241777
1971-10-01,502.5803422199
1972-01-01,513.343714933
1972-04-01,512.5043910036
1972-07-01,512.1696244665
1972-10-01,514.3904228408
1973-01-01,506.866263186
1973-04-01,497.0931254894
1973-07-01,503.7608118385
1973-10-01,484.9052252624
1974-01-01,481.6002851439
1974-04-01,471.1466165475
1974-07-01,454.7908920991
1974-10-01,456.2956244091
1975-01-01,470.3151988619
1975-04-01,463.0458077094
1975-07-01,460.932520153
1975-10-01,463.0871348495
1976-01-01,467.9468048174
1976-04-01,474.906644898
1976-07-01,472.8161667026
1976-10-01,474.8142202579
1977-01-01,473.0955524399
1977-04-01,473.2595999386
1977-07-01,469.3416944891
1977-10-01,464.4646330861
1978-01-01,464.498752624
1978-04-01,465.8098742368
1978-07-01,469.1096060231
1978-10-01,468.074026314
1979-01-01,471.6404620739
1979-04-01,478.542417179
1979-07-01,480.2473471142
1979-10-01,482.9496902981
1980-01-01,477.1386909168
1980-04-01,487.3564315647
1980-07-01,490.1859320069
1980-10-01,487.0963090872
1981-01-01,484.4945722689
1981-04-01,488.7368396492
1981-07-01,475.074762917
1981-10-01,480.7161746752
1982-01-01,479.3533706123
1982-04-01,477.3792618113
1982-07-01,476.8512604581
1982-10-01,483.3206334368
1983-01-01,488.1679304076
1983-04-01,491.9921089393
1983-07-01,484.4884247976
1983-10-01,474.4223165722
1984-01-01,468.6819740026
1984-04-01,464.288073204
1984-07-01,465.9350995869
1984-10-01,468.7335361263
1985-01-01,477.6932896612
1985-04-01,475.4889221319
1985-07-01,479.7897724386
1985-10-01,487.0346186876
1986-01-01,492.7694599148
1986-04-01,498.4980230499
1986-07-01,498.1360755813
1986-10-01,511.4493644258
1987-01-01,520.3896839498
1987-04-01,528.8665112963
1987-07-01,526.4719185333
1987-10-01,513.494531552
1988-01-01,516.0287048016
1988-04-01,516.9173438277
1988-07-01,514.1554998234
1988-10-01,517.2899517124
1989-01-01,516.515312976
1989-04-01,521.639063231
1989-07-01,528.4564727826
1989-10-01,529.6349073134
1990-01-01,521.1178212459
1990-04-01,518.3912522016
1990-07-01,508.2122582294
1990-10-01,515.8123198311
1991-01-01,525.0986952384
1991-04-01,519.5474579259
1991-07-01,520.1419839185
1991-10-01,524.9341105154
1992-01-01,513.2984657435
1992-04-01,506.6941601169
1992-07-01,508.4085508921
1992-10-01,514.8347118058
1993-01-01,516.5381553131
1993-04-01,516.7647605945
1993-07-01,521.9821835239
1993-10-01,523.9556179843
1994-01-01,521.7359738517
1994-04-01,517.1734923242
1994-07-01,517.3008951151
1994-10-01,511.5559865483
1995-01-01,515.1652325629
1995-04-01,520.877836273
1995-07-01,525.5335729834
1995-10-01,532.9145737885
1996-01-01,535.6023476814
1996-04-01,534.6451626085
1996-07-01,533.2176353329
1996-10-01,538.7987556937
1997-01-01,537.7095705733
1997-04-01,553.0934740904
1997-07-01,561.8841522954
1997-10-01,562.1014003657
1998-01-01,577.6377681552
1998-04-01,577.8914528167
1998-07-01,561.5117838563
1998-10-01,586.5484192176
1999-01-01,584.7881510414
1999-04-01,595.3485054069
1999-07-01,587.945864085
1999-10-01,612.8887971721
2000-01-01,613.7094440304
2000-04-01,601.4438553041
2000-07-01,601.5958410715
2000-10-01,590.1870875149
2001-01-01,579.8267833498
2001-04-01,593.536583908
2001-07-01,566.7521417239
2001-10-01,593.4593208536
2002-01-01,587.3906847901
2002-04-01,571.9353652327
2002-07-01,556.6567131512
2002-10-01,565.4591557691
2003-01-01,563.5701068952
2003-04-01,579.6243547126
2003-07-01,577.2635634911
2003-10-01,596.0671275
2004-01-01,617.8787686315
2004-04-01,615.8462302071
2004-07-01,624.0812826997
2004-10-01,636.8654613958
2005-01-01,650.6388483142
2005-04-01,657.9937638472
2005-07-01,666.6589569977
2005-10-01,670.0913612977
2006-01-01,672.6504462856
2006-04-01,666.3041045265
2006-07-01,671.4214024831
2006-10-01,678.3232495714
2007-01-01,676.4657804275
2007-04-01,673.4784144659
2007-07-01,676.2869178394
2007-10-01,662.656417824
2008-01-01,636.426879729
2008-04-01,604.8328826427
2008-07-01,590.7553090265
2008-10-01,565.374537553
2009-01-01,558.9545786709
2009-04-01,556.1264958763
2009-07-01,573.0283546306
2009-10-01,571.5252871148
2010-01-01,577.226843758
2010-04-01,562.9876866532
2010-07-01,576.0597533611
2010-10-01,577.2965285024
2011-01-01,576.4852258684
2011-04-01,576.149041279
2011-07-01,556.6780428554
2011-10-01,564.08653498
2012-01-01,566.7930630887
2012-04-01,560.6810261721
2012-07-01,579.4533352365
2012-10-01,568.1661208925
2013-01-01,613.4347886286
2013-04-01,617.9694633741
2013-07-01,633.0512275699
2013-10-01,645.5236024028
2014-01-01,646.8417506944
2014-04-01,648.8979305151
2014-07-01,643.1110147199
2014-10-01,649.3927065805
2015-01-01,658.9913439597
2015-04-01,654.8455177282
2015-07-01,641.3635863811
2015-10-01,651.217252998
2016-01-01,655.023922368
2016-04-01,662.2135238912
2016-07-01,669.7507094239
2016-10-01,668.1370382229
2017-01-01,673.8744733833
2017-04-01,679.5079561891
2017-07-01,686.0477650192
2017-10-01,693.2892330998
2018-01-01,682.4936811545
2018-04-01,684.7756751855
2018-07-01,689.2686981498
2018-10-01,660.5729091656
2019-01-01,686.3179621804
2019-04-01,691.8128085372
2019-07-01,692.2932880248
2019-10-01,704.9380547369
2020-01-01,661.9814619441
